french,english
je,I
de,of
est,is
pas,not
le,the
vous,you
la,the
tu,you
que,that
un,a
il,he
et,and
à,to 
a,has
ne,not
les,them
ce,this
en,in
on,we
ça,that
une,a
ai,have
pour,to
des,of the
moi,me
qui,who
nous,we
y,Y
mais,but
me,me
dans,in
du,from
bien,Well
elle,she
si,if
tout,everything
plus,more
non,Nope
mon,my 
suis,am
te,you
au,to
avec,with
va,goes
oui,yes
toi,you
fait,do
ils,they
as,AS
être,to be
faire,To do
se,se
comme,as
était,was
sur,on
quoi,what
ici,here
sais,know
lui,him
veux,want
ma,my
là,the
rien,nothing
dit,said
es,es
où,where
votre,your
pourquoi,for what
sont,are
cette,this
quand,when
par,by
son,his 
ton,your
peux,can
vais,go
dire,say
alors,then
comment,How? 'Or' What
avez,have
bon,Well
ou,Where
très,very
merci,thank you
ont,have
même,even
jamais,never
aussi,Also
voir,see
chose,thing
allez,go
tous,all
deux,of them
ces,these
faut,should
sa,her
êtes,are
été,summer
ta,your
fais,do 
avoir,to have
peut,can
autre,other
m,M
encore,again
maintenant,now
peu,little
mes,my
vraiment,really
temps,time
notre,our
toujours,always
vie,life
sans,without
juste,just
oh,Oh
avait,had
accord,deal
vu,seen
monde,world
quelque,some
fois,time
aller,go
trop,too
viens,come
crois,believe
dieu,god
dois,must
homme,male
père,dad
sûr,safe
aux,to the
leur,their
avant,before
étais,is
besoin,need
femme,women
aime,love
personne,person
avais,had
chez,at the house of
vrai,TRUE
ans,year
mal,wrong
ses,his
parler,to speak
vos,your
après,after
mort,dead
veut,wants
eu,eu
sera,will be
bonne,good
parce,by
mieux,better
petit,small
voilà,so
tes,your 
ca,that
dis,say
beaucoup,many
depuis,since
doit,must
vois,see 
mère,mother
vas,go
monsieur,sir
quel,what
déjà,already
fille,daughter
gens,people
donc,So
jour,day
soir,evening
autres,others
ii,II
toute,all
bonjour,hello
ll,ll
maison,home
nom,name
argent,money
nos,our
ouais,yeah
pense,thought
merde,shit
nuit,night
papa,dad
cela,that
salut,Hi
cet,this
avons,have
reste,rest
désolé,sorry
maman,mom
peur,fear
arrive,arrived
seul,Alone
vite,quickly
prendre,take
regarde,looked
air,air
soit,either
trois,three
quelle,what
passé,past
savoir,to know
plaît,jail
choses,things
moins,less
fils,son
entre,Between
bas,low
appelle,call
passe,pass
ah,ah
tête,head
demain,tomorrow
grand,big
arrête,stopped
faites,done
voulez,want
hé,Hey
attends,hold on
hein,eh
enfants,children
assez,quite
raison,raison
aurais,would have
voulais,wanted
elles,they
parle,speak
ok,okay
jours,days
dû,from
moment,moment
heure,hour
puis,then
gars,guys
hommes,men
amour,love
tard,late
toutes,all
sommes,are
tuer,kill
eh,eh
ami,friend
connais,know
petite,small
aider,to help
chance,chance
savez,know
partir,leave
sait,knows
combien,How many
voiture,car
tant,so much
pris,taken
part,go
problème,problem
prends,take
porte,gate
coup,stroke
serait,would be
venir,come
hui,hui
famille,family
travail,work 
pu,could
seule,only
sens,sense
ni,neither
allons,let's go
revoir,see again
idée,idea
putain,whore
passer,pass
contre,against
comprends,understand
entendu,understood
trouvé,found
trouver,to find
vieux,old 
vient,come
pendant,during
aurait,would have
quelques,some 
attention,Warning
demande,request
chercher,look for
sous,under
voici,here is
pourrait,might
sang,blood
pouvez,can
sortir,to go out
question,question
histoire,story
amis,friends
venez,come
frère,brother
rester,stay
fini,finished
ville,city
nouveau,new 
truc,thing
tiens,take
mois,month
eux,them
mec,guy
yeux,eyes
laisse,leave alone
super,Great
belle,beautiful
longtemps,long time
police,police
